date,symbol,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,000001,000001,16.84,16.34,16.84,16.18,1554216,2891682320.0,3.86,-4.33,-0.74,0.8
2021-01-04,000002,000002,25.49,24.87,25.49,24.61,1468441,4079416864.0,3.41,-3.57,-0.92,1.51
2021-01-04,600519,600519,1785.77,1782.79,1790.78,1769.6,43514,8686920192.0,1.19,-0.06,-1.0,0.35
2021-01-05,000001,000001,16.14,15.91,16.22,15.54,1821352,3284606912.0,4.16,-2.63,-0.43,0.94
2021-01-05,000002,000002,24.87,25.0,25.02,24.19,1162658,3189607200.0,3.34,0.52,0.13,1.2
2021-01-05,600519,600519,1775.79,1845.24,1845.24,1768.25,52116,10592557312.0,4.32,3.5,62.45,0.41
2021-01-06,000001,000001,15.82,17.3,17.3,15.74,1934945,3648521904.0,9.81,8.74,1.39,1.0
2021-01-06,000002,000002,24.89,25.84,25.84,24.82,1048801,2972572544.0,4.08,3.36,0.84,1.08
2021-01-06,600519,600519,1850.59,1885.79,1910.79,1821.82,47410,9882593792.0,4.82,2.2,40.55,0.38
2021-01-07,000001,000001,17.26,17.64,17.72,16.97,1584185,3111274624.0,4.34,1.97,0.34,0.82
2021-01-07,000002,000002,26.09,25.88,26.59,25.48,1226756,3544224000.0,4.3,0.15,0.04,1.26
2021-01-07,600519,600519,1882.79,1925.79,1925.79,1860.79,37931,7991178752.0,3.45,2.12,40.0,0.3
2021-01-08,000001,000001,17.64,17.59,17.84,17.05,1195473,2348316368.0,4.48,-0.28,-0.05,0.62
2021-01-08,000002,000002,26.07,26.43,26.54,25.9,1028563,3000845600.0,2.47,2.13,0.55,1.06
2021-01-08,600519,600519,1927.79,1875.79,1936.67,1848.81,53862,11345202944.0,4.56,-2.6,-50.0,0.43
2021-01-11,000001,000001,17.74,18.12,18.38,17.74,1790457,3652546640.0,3.64,3.01,0.53,0.92
2021-01-11,000002,000002,26.59,26.87,27.44,26.36,1388121,4142482784.0,4.09,1.66,0.44,1.43
2021-01-11,600519,600519,1875.79,1885.52,1936.29,1844.39,51080,10768565504.0,4.9,0.52,9.73,0.41
2021-01-12,000001,000001,18.13,18.74,18.74,17.92,1288166,2657687440.0,4.53,3.42,0.62,0.66
2021-01-12,000002,000002,26.87,26.79,26.89,26.46,980654,2899071744.0,1.6,-0.3,-0.08,1.01
2021-01-12,600519,600519,1873.79,1946.69,1946.69,1870.79,41059,8800558336.0,4.03,3.24,61.17,0.33
2021-01-13,000001,000001,18.74,18.44,18.75,18.14,1049120,2161849712.0,3.26,-1.6,-0.3,0.54
2021-01-13,000002,000002,26.99,26.99,27.31,26.69,940504,2807916704.0,2.31,0.75,0.2,0.97
2021-01-13,600519,600519,1949.79,1949.79,1959.12,1920.79,34390,7418330880.0,1.97,0.16,3.1,0.27
2021-01-14,000001,000001,18.42,17.91,18.63,17.69,1130156,2306404544.0,5.1,-2.87,-0.53,0.58
2021-01-14,000002,000002,27.02,27.08,27.88,26.89,1216323,3681938192.0,3.67,0.33,0.09,1.25
2021-01-14,600519,600519,1941.79,1919.79,1948.79,1901.9,36152,7722089728.0,2.4,-1.54,-30.0,0.29
2021-01-15,000001,000001,18.74,18.74,19.69,18.56,2480689,5311218176.0,6.31,4.63,0.83,1.28
2021-01-15,000002,000002,27.1,27.04,27.82,26.97,1123372,3399072608.0,3.14,-0.15,-0.04,1.16
2021-01-15,600519,600519,1900.79,1867.79,1920.14,1814.79,59509,12372103168.0,5.49,-2.71,-52.0,0.47
2021-01-18,000001,000001,18.94,20.44,20.52,18.94,2157302,4792909568.0,8.43,9.07,1.7,1.11
2021-01-18,000002,000002,27.29,28.35,28.35,26.92,1258282,3847315296.0,5.29,4.84,1.31,1.29
2021-01-18,600519,600519,1846.85,1848.79,1877.27,1826.06,39144,8076715776.0,2.74,-1.02,-19.0,0.31
2021-01-19,000001,000001,20.25,20.08,20.58,19.79,1242088,2790056608.0,3.86,-1.76,-0.36,0.64
2021-01-19,000002,000002,28.28,28.37,29.44,27.81,1631688,5130233088.0,5.75,0.07,0.02,1.68
2021-01-19,600519,600519,1858.9,1795.2,1882.09,1792.64,46345,9479278592.0,4.84,-2.9,-53.59,0.37
2021-01-20,000001,000001,19.89,20.21,20.71,19.86,1280793,2889249856.0,4.23,0.65,0.13,0.66
2021-01-20,000002,000002,28.16,27.59,28.29,27.44,961435,2946920752.0,3.0,-2.75,-0.78,0.99
2021-01-20,600519,600519,1793.79,1826.42,1841.28,1768.29,45082,9126453248.0,4.07,1.74,31.22,0.36
2021-01-21,000001,000001,20.24,19.97,20.54,19.89,944779,2114252736.0,3.22,-1.19,-0.24,0.49
2021-01-21,000002,000002,27.39,27.19,27.79,27.11,875253,2650781808.0,2.46,-1.45,-0.4,0.9
2021-01-21,600519,600519,1833.79,1855.79,1875.81,1826.79,38310,7953455872.0,2.68,1.61,29.37,0.3
2021-01-22,000001,000001,19.97,19.77,19.97,19.25,924434,2025834768.0,3.61,-1.0,-0.2,0.48
2021-01-22,000002,000002,27.04,26.35,27.04,26.1,1058091,3114137408.0,3.46,-3.09,-0.84,1.09
2021-01-22,600519,600519,1854.79,1865.74,1885.79,1845.89,29248,6090260480.0,2.15,0.54,9.95,0.23
2021-01-25,000001,000001,19.46,20.23,20.34,19.17,1028365,2269032816.0,5.92,2.33,0.46,0.53
2021-01-25,000002,000002,26.35,26.45,26.69,25.65,973750,2825867840.0,3.95,0.38,0.1,1.0
2021-01-25,600519,600519,1868.79,1960.79,1965.29,1868.79,55957,12029474560.0,5.17,5.09,95.05,0.45
2021-01-26,000001,000001,20.04,20.11,21.06,20.04,1126721,2558575504.0,5.04,-0.59,-0.12,0.58
2021-01-26,000002,000002,26.35,26.79,27.24,26.24,816655,2433266448.0,3.78,1.29,0.34,0.84
2021-01-26,600519,600519,1970.79,1927.68,1972.79,1910.9,31747,6820173312.0,3.16,-1.69,-33.11,0.25
2021-01-27,000001,000001,20.05,20.82,21.21,20.05,1294153,2976800960.0,5.77,3.53,0.71,0.67
2021-01-27,000002,000002,26.78,26.49,27.04,26.46,724303,2146772480.0,2.16,-1.12,-0.3,0.75
2021-01-27,600519,600519,1927.68,1874.79,1927.68,1870.79,37120,7809446400.0,2.95,-2.74,-52.89,0.3
2021-01-28,000001,000001,20.52,20.55,20.92,20.19,857477,1948881152.0,3.51,-1.3,-0.27,0.44
2021-01-28,000002,000002,26.14,25.52,26.16,25.31,786041,2240534512.0,3.21,-3.66,-0.97,0.81
2021-01-28,600519,600519,1865.79,1873.79,1895.45,1845.81,35129,7337084416.0,2.65,-0.05,-1.0,0.28
2021-01-29,000001,000001,20.55,20.83,21.28,20.45,1240258,2864101424.0,4.04,1.36,0.28,0.64
2021-01-29,000002,000002,25.64,24.88,25.74,24.66,963685,2691727584.0,4.23,-2.51,-0.64,0.99
2021-01-29,600519,600519,1886.98,1901.97,1935.27,1876.01,33701,7166179328.0,3.16,1.5,28.18,0.27
